Date,Direction,Coin,Futures,Transaction amount,Average Price,Realized P/L,NetProfits,Fee,
2025-03-19 21:17:37,Open long,USDT,BTCUSDT,0.001,85674.6,0,0,-0.05140476,
2025-03-19 21:16:57,Open long,USDT,BTCUSDT,0.001,85750,0,0,-0.05145,
2025-03-19 21:05:40,Open short,USDT,BTCUSDT,0.0022,85640.2,0,0,-0.113045064,
2025-03-19 20:11:49,Close long,USDT,BTCUSDT,0.003,85540,6.21173463035,6.05776263035,-0.153972,
2025-03-19 19:53:43,Close long,USDT,BTCUSDT,0.0108,85104,17.65344466926,17.10197074926,-0.55147392,
2025-03-19 18:12:05,Open short,USDT,BTCUSDT,0.0022,84614.8,0,0,-0.111691536,
2025-03-19 18:12:04,Close long,USDT,BTCUSDT,0.0022,84614.8,2.519832062256,2.408140526256,-0.111691536,
2025-03-19 17:42:29,Open short,USDT,BTCUSDT,0.0013,84476.2,0,0,-0.065891436,
2025-03-19 14:56:04,Open short,USDT,BTCUSDT,0.0023,84241.9,0,0,-0.116253822,
2025-03-19 14:56:04,Close long,USDT,BTCUSDT,0.0023,84241.9,1.776699883268,1.660446061268,-0.116253822,
2025-03-19 14:55:27,Open short,USDT,BTCUSDT,0.0012,84203,0,0,-0.06062616,
2025-03-19 14:55:09,Open short,USDT,BTCUSDT,0.0007,84260.3,0,0,-0.035389326,
2025-03-19 14:54:53,Open short,USDT,BTCUSDT,0.0037,84259.7,0,0,-0.187056534,
2025-03-19 11:34:57,Open short,USDT,BTCUSDT,0.0006,83731.6,0,0,-0.030143376,
2025-03-19 11:33:30,Open short,USDT,BTCUSDT,0.0012,83639,0,0,-0.06022008,
2025-03-19 11:33:23,Open short,USDT,BTCUSDT,0.0006,83648.8,0,0,-0.030113568,
2025-03-19 10:44:32,Open long,USDT,BTCUSDT,0.0006,83400.1,0,0,-0.030024036,
2025-03-19 10:25:31,Open long,USDT,BTCUSDT,0.0006,83450.1,0,0,-0.030042036,
2025-03-19 07:54:35,Open long,USDT,BTCUSDT,0.0006,83185.8,0,0,-0.029946888,
2025-03-19 02:21:41,Open long,USDT,BTCUSDT,0.0006,82774.3,0,0,-0.029798748,
2025-03-19 01:39:31,Open long,USDT,BTCUSDT,0.0006,82929.8,0,0,-0.029854728,
2025-03-19 01:34:49,Open long,USDT,BTCUSDT,0.0006,83000,0,0,-0.00996,
2025-03-19 00:25:02,Open long,USDT,BTCUSDT,0.0006,82652,0,0,-0.02975472,
2025-03-18 23:38:43,Open long,USDT,BTCUSDT,0.0011,82275.6,0,0,-0.054301896,
2025-03-18 23:29:00,Open long,USDT,BTCUSDT,0.0006,82250.1,0,0,-0.029610036,
2025-03-18 21:12:26,Open long,USDT,BTCUSDT,0.0011,82100.1,0,0,-0.054186066,
2025-03-18 20:34:06,Open long,USDT,BTCUSDT,0.0006,81994.1,0,0,-0.029517876,
2025-03-18 18:12:20,Close short,USDT,BTCUSDT,0.0077,81662.8,15.001206842199,14.623924706199,-0.377282136,
2025-03-18 17:33:36,Open long,USDT,BTCUSDT,0.0014,82052.8,0,0,-0.068924352,
2025-03-18 14:48:31,Close short,USDT,BTCUSDT,0.004,81243.6,9.46963472322,9.27465008322,-0.19498464,
2025-03-18 14:47:15,Open long,USDT,BTCUSDT,0.0009,81352.2,0,0,-0.043930188,
2025-03-18 14:41:46,Open long,USDT,BTCUSDT,0.001,81649,0,0,-0.0489894,
2025-03-18 12:42:02,Open long,USDT,BTCUSDT,0.0016,82519.6,0,0,-0.079218816,
2025-03-18 12:42:02,Close short,USDT,BTCUSDT,0.0016,82519.6,1.746253889288,1.667035073288,-0.079218816,
2025-03-18 12:39:07,Open long,USDT,BTCUSDT,0.0006,82587.8,0,0,-0.029731608,
2025-03-18 11:40:40,Open long,USDT,BTCUSDT,0.0006,82768.6,0,0,-0.029796696,
2025-03-18 11:14:08,Open long,USDT,BTCUSDT,0.0025,82714,0,0,-0.124071,
2025-03-18 11:14:08,Close short,USDT,BTCUSDT,0.0025,82714,2.242521702012,2.118450702012,-0.124071,
2025-03-18 11:13:44,Open long,USDT,BTCUSDT,0.0011,82750.1,0,0,-0.054615066,
2025-03-18 09:25:05,Open long,USDT,BTCUSDT,0.0009,83168,0,0,-0.04491072,
2025-03-18 09:19:03,Open long,USDT,BTCUSDT,0.001,83000,0,0,-0.0166,
2025-03-18 08:43:38,Open long,USDT,BTCUSDT,0.0011,82994.1,0,0,-0.054776106,
2025-03-18 08:43:23,Open long,USDT,BTCUSDT,0.0006,82989.2,0,0,-0.029876112,
2025-03-18 08:07:33,Open long,USDT,BTCUSDT,0.0006,82727.7,0,0,-0.029781972,
2025-03-18 07:39:55,Open long,USDT,BTCUSDT,0.0011,82500,0,0,-0.01815,
2025-03-18 07:26:02,Open long,USDT,BTCUSDT,0.0039,82618.6,0,0,-0.193327524,
2025-03-18 03:00:46,Open long,USDT,BTCUSDT,0.0011,83088.1,0,0,-0.054838146,
2025-03-18 02:40:03,Open long,USDT,BTCUSDT,0.0011,83124.3,0,0,-0.054862038,
2025-03-18 02:36:14,Open long,USDT,BTCUSDT,0.0011,83091.5,0,0,-0.05484039,
2025-03-18 02:26:21,Open long,USDT,BTCUSDT,0.0009,83234.1,0,0,-0.044946414,
2025-03-18 02:21:31,Open long,USDT,BTCUSDT,0.0011,83286.1,0,0,-0.054968826,
2025-03-18 02:18:13,Open long,USDT,BTCUSDT,0.0011,83373.2,0,0,-0.055026312,
2025-03-18 02:15:51,Open long,USDT,BTCUSDT,0.0011,83478.2,0,0,-0.055095612,
2025-03-18 02:15:34,Open long,USDT,BTCUSDT,0.0011,83500,0,0,-0.01837,
2025-03-18 01:53:08,Open short,USDT,BTCUSDT,0.0023,83687.6,0,0,-0.115488888,
2025-03-18 01:40:11,Open long,USDT,BTCUSDT,0.0013,83774.5,0,0,-0.06534411,
2025-03-18 01:31:20,Open long,USDT,BTCUSDT,0.0016,83725,0,0,-0.080376,
2025-03-18 01:30:48,Open long,USDT,BTCUSDT,0.0013,83683.7,0,0,-0.065273286,
2025-03-18 01:14:57,Open long,USDT,BTCUSDT,0.0013,83837.7,0,0,-0.065393406,
2025-03-18 00:45:57,Open short,USDT,BTCUSDT,0.0014,84049.9,0,0,-0.070601916,
2025-03-18 00:45:38,Open short,USDT,BTCUSDT,0.0007,84073.6,0,0,-0.035310912,
2025-03-18 00:45:38,Open short,USDT,BTCUSDT,0.0004,84073.6,0,0,-0.020177664,
2025-03-18 00:22:53,Open short,USDT,BTCUSDT,0.0011,83936.9,0,0,-0.055398354,
2025-03-18 00:14:48,Open short,USDT,BTCUSDT,0.0011,83933.7,0,0,-0.055396242,
2025-03-17 22:52:40,Open long,USDT,BTCUSDT,0.0016,84158,0,0,-0.08079168,
2025-03-17 22:37:12,Open long,USDT,BTCUSDT,0.0015,83923.6,0,0,-0.07553124,
2025-03-17 21:55:20,Open short,USDT,BTCUSDT,0.0011,84004.8,0,0,-0.055443168,
2025-03-17 21:54:02,Open long,USDT,BTCUSDT,0.0016,84017.6,0,0,-0.080656896,
2025-03-17 21:49:30,Open short,USDT,BTCUSDT,0.0011,84119.1,0,0,-0.055518606,
2025-03-17 21:47:27,Open short,USDT,BTCUSDT,0.001,84101.9,0,0,-0.05046114,
2025-03-17 21:46:51,Open long,USDT,BTCUSDT,0.0013,84071.9,0,0,-0.065576082,
2025-03-17 21:44:50,Open short,USDT,BTCUSDT,0.0011,83986,0,0,-0.05543076,
2025-03-17 21:44:16,Open long,USDT,BTCUSDT,0.0013,83969.9,0,0,-0.065496522,
2025-03-17 21:39:49,Open long,USDT,BTCUSDT,0.0013,83876.7,0,0,-0.065423826,
2025-03-17 21:36:14,Open short,USDT,BTCUSDT,0.0011,83903.5,0,0,-0.05537631,
2025-03-17 21:35:53,Open long,USDT,BTCUSDT,0.0016,83870.9,0,0,-0.080516064,
2025-03-17 21:33:25,Open long,USDT,BTCUSDT,0.0016,83986.9,0,0,-0.080627424,
2025-03-17 21:29:29,Open long,USDT,BTCUSDT,0.003,84044.1,0,0,-0.15127938,
2025-03-17 21:26:28,Open long,USDT,BTCUSDT,0.0016,84055.3,0,0,-0.080693088,
2025-03-17 21:25:36,Open long,USDT,BTCUSDT,0.0019,84080,0,0,-0.0958512,
2025-03-17 21:25:07,Open long,USDT,BTCUSDT,0.0046,84071.4,0,0,-0.232037064,
2025-03-17 21:16:35,Open long,USDT,BTCUSDT,0.0055,84275.6,0,0,-0.27810948,
2025-03-17 21:10:18,Open long,USDT,BTCUSDT,0.0023,84261,0,0,-0.11628018,
2025-03-17 21:09:28,Open short,USDT,BTCUSDT,0.0014,84278.5,0,0,-0.07079394,
2025-03-17 21:09:04,Open long,USDT,BTCUSDT,0.0058,84262.7,0,0,-0.293234196,
2025-03-17 19:48:09,Close long,USDT,BTCUSDT,0.045,84499.9,86.707208896484,84.425711596484,-2.2814973,
2025-03-17 18:58:48,Open short,USDT,BTCUSDT,0.0014,84157.9,0,0,-0.070692636,
2025-03-17 18:43:04,Open short,USDT,BTCUSDT,0.0016,84257.7,0,0,-0.080887392,
2025-03-17 18:36:48,Close long,USDT,BTCUSDT,0.0048,84232.5,7.965248948958,7.722659348958,-0.2425896,
2025-03-17 18:36:48,Close long,USDT,BTCUSDT,0.0001,84232.5,0.165942686436,0.160888736436,-0.00505395,
2025-03-17 18:35:52,Open short,USDT,BTCUSDT,0.0016,84141.9,0,0,-0.080776224,
2025-03-17 18:07:18,Open short,USDT,BTCUSDT,0.001,83657.3,0,0,-0.05019438,
2025-03-17 18:07:18,Open short,USDT,BTCUSDT,0.001,83659.4,0,0,-0.05019564,
2025-03-17 17:21:48,Open short,USDT,BTCUSDT,0.0012,83684.5,0,0,-0.06025284,
2025-03-17 17:21:48,Open short,USDT,BTCUSDT,0.0008,83684.5,0,0,-0.04016856,
2025-03-17 17:10:59,Open short,USDT,BTCUSDT,0.0016,83747,0,0,-0.08039712,
2025-03-17 17:10:49,Close long,USDT,BTCUSDT,0.0043,83747.7,5.050895516775,4.834826450775,-0.216069066,
2025-03-17 16:56:32,Open short,USDT,BTCUSDT,0.0016,83627.4,0,0,-0.080282304,
2025-03-17 16:56:11,Open short,USDT,BTCUSDT,0.0015,83605.1,0,0,-0.07524459,
2025-03-17 15:11:41,Close short,USDT,BTCUSDT,0.0037,82571.4,3.323060539189,3.139752031189,-0.183308508,
2025-03-17 14:41:31,Close long,USDT,BTCUSDT,0.0066,83550,6.447717304817,6.116859304817,-0.330858,
2025-03-17 13:36:17,Open short,USDT,BTCUSDT,0.0028,83547.8,0,0,-0.140360304,
2025-03-17 12:33:43,Open short,USDT,BTCUSDT,0.0012,83546.4,0,0,-0.060153408,
2025-03-17 12:31:27,Open short,USDT,BTCUSDT,0.0046,83503.4,0,0,-0.230469384,
2025-03-17 12:31:04,Open short,USDT,BTCUSDT,0.0021,83501.9,0,0,-0.105212394,
2025-03-17 10:30:15,Open short,USDT,BTCUSDT,0.0011,83730.6,0,0,-0.055262196,
2025-03-17 10:29:45,Open short,USDT,BTCUSDT,0.0011,83705.7,0,0,-0.055245762,
2025-03-17 00:41:05,Open long,USDT,BTCUSDT,0.0009,82476.5,0,0,-0.04453731,
2025-03-17 00:18:18,Open long,USDT,BTCUSDT,0.0005,82258.2,0,0,-0.02467746,
